acceptedTaxonID,taxonRank,scientificName,phylum,subphylum,class,order,family,subfamily,tribe,genus,species,organism_aggr,tolerance,FFG,FFG2
STYLAC,species,Stylaria lacustris,Annelida,NA,Clitellata,Tubificida,Naididae,NA,NA,Stylaria,lacustris,segmented_worms,6,cg,NA
NAISP,family,Naididae sp.,Annelida,NA,Clitellata,Tubificida,Naididae,NA,NA,unknown_naidid,NA,segmented_worms,8,cg,NA
NAISP,family,Naididae sp.,Annelida,NA,Clitellata,Tubificida,Naididae,NA,NA,unknown_tubificid,NA,segmented_worms,10,cg,NA
ARCWUL,species,Arctodrilus wulikensis,Annelida,NA,Clitellata,Tubificida,Naididae,Tubificinae,NA,Arctodrilus,NA,segmented_worms,10,cg,NA
CORSP29,genus,Corticacarus sp.,Arthropoda,Chelicerata,Arachnida,Actinedida,Hygrobatidae,NA,NA,Corticacarus,NA,Corticacarus,8,prd,NA
ACASP1,subclass,Acari sp.,Arthropoda,Chelicerata,Arachnida,NA,NA,NA,NA,NA,NA,Acari,6,prd,NA
STYSP11,genus,Stygothrombium sp.,Arthropoda,Chelicerata,Arachnida,NA,Stygothrombiidae,NA,NA,Stygothrombium,NA,Stygothrombium,5,prd,NA
ORISP1,suborder,Oribatida sp.,Arthropoda,Chelicerata,Arachnida,Sarcoptiformes,NA,NA,NA,NA,NA,Oribatida,6,prd,NA
ANISP2,family,Anisitsiellidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Anisitsiellidae,NA,NA,NA,NA,Anisitsiellidae,5,prd,NA
UTASP2,genus,Utaxatax sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Anisitsiellidae,NA,NA,Utaxatax,NA,Utaxatax,5,prd,NA
ARRSP2,genus,Arrenurus sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Arrenuridae,NA,NA,Arrenurus,NA,Arrenurus,5,prd,NA
ALBSP2,genus,Albia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Aturidae,NA,NA,Albia,NA,Albia,5,prd,NA
ATUSP1,genus,Aturus sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Aturidae,NA,NA,Aturus,NA,Aturus,5,prd,NA
KONSP,genus,Kongsbergia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Aturidae,NA,NA,Kongsbergia,NA,Kongsbergia,5,prd,NA
LJASP,genus,Ljania sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Aturidae,NA,NA,Ljania,NA,Ljania,5,prd,NA
ATUSP,family,Aturidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Aturidae,NA,NA,NA,NA,Aturidae,5,prd,NA
WOOSP,genus,Woolastookia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Aturidae,NA,NA,Woolastookia,NA,Woolastookia,5,prd,NA
CHASP5,family,Chappuisididae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Chappuisididae,NA,NA,NA,NA,Chappuisididae,5,prd,NA
FELSP1,genus,Feltria sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Feltriidae,NA,NA,Feltria,NA,Feltria,5,prd,NA
HALSP1,family,Halacaridae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Halacaridae,NA,NA,NA,NA,Halacaridae,5,prd,NA
HYDSP44,genus,Hydrachna sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydrachnidae,NA,NA,Hydrachna,NA,Hydrachna,5,prd,NA
HYDSP46,genus,Hydrodroma sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydrodromidae,NA,NA,Hydrodroma,NA,Hydrodroma,5,prd,NA
HYDSP15,family,Hydryphantidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydryphantidae,NA,NA,NA,NA,Hydryphantidae,5,prd,NA
PROSP38,genus,Protzia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydryphantidae,NA,NA,Protzia,NA,Protzia,8,prd,NA
THYSP6,genus,Thyopsella sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydryphantidae,NA,NA,Thyopsella,NA,Thyopsella,5,prd,NA
WANSP,genus,Wandesia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hydryphantidae,NA,NA,Wandesia,NA,Wandesia,5,prd,NA
ATRSP3,genus,Atractides sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hygrobatidae,NA,NA,Atractides,NA,Atractides,8,prd,NA
HYGSP2,genus,Hygrobates sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hygrobatidae,NA,NA,Hygrobates,NA,Hygrobates,8,prd,NA
HYGSP,family,Hygrobatidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Hygrobatidae,NA,NA,NA,NA,Hygrobatidae,8,prd,NA
ESTSP1,genus,Estelloxus sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Estelloxus,NA,Estelloxus,8,prd,NA
LEBSP1,genus,Lebertia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Lebertiidae,NA,NA,Lebertia,NA,Lebertia,8,prd,NA
LIMSP32,genus,Limnesia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Limnesiidae,NA,NA,Limnesia,NA,Limnesia,5,prd,NA
TYRSP,genus,Tyrrellia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Limnesiidae,NA,NA,Tyrrellia,NA,Tyrrellia,5,prd,NA
LIMSP33,genus,Limnochares sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Limnocharidae,NA,NA,Limnochares,NA,Limnochares,5,prd,NA
RHYSP6,genus,Rhyncholimnochares sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Limnocharidae,NA,NA,Rhyncholimnochares,NA,Rhyncholimnochares,5,prd,NA
MIDSP2,genus,Mideopsis sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Mideopsidae,NA,NA,Mideopsis,NA,Mideopsis,5,prd,NA
STYSP10,genus,Stygomomonia sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Momoniidae,NA,NA,Stygomomonia,NA,Stygomomonia,5,prd,NA
OXUSP,genus,Oxus sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Oxidae,NA,NA,Oxus,NA,Oxus,5,prd,NA
PIOSP,family,Pionidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Pionidae,NA,NA,NA,NA,Pionidae,5,prd,NA
PIOSP2,genus,Piona sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Pionidae,NA,NA,Piona,NA,Piona,5,prd,NA
TIPSP4,genus,Tiphys sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Pionidae,NA,NA,Tiphys,NA,Tiphys,5,prd,NA
CLASP9,genus,Clathrosperchon sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Rhynchohydracaridae,NA,NA,Clathrosperchon,NA,Clathrosperchon,5,prd,NA
SPESP,family,Sperchontidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Sperchontidae,NA,NA,NA,NA,Sperchontidae,8,prd,NA
SPESP4,genus,Sperchon sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Sperchontidae,NA,NA,Sperchon,NA,Sperchon,8,prd,NA
SPESP5,genus,Sperchonopsis sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Sperchontidae,NA,NA,Sperchonopsis,NA,Sperchonopsis,8,prd,NA
MONSP19,genus,Monatractides sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Torrenticolidae,NA,NA,Monatractides,NA,Monatractides,5,prd,NA
TORSP1,family,Torrenticolidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Torrenticolidae,NA,NA,NA,NA,Torrenticolidae,5,prd,NA
TESSP1,genus,Testudacarus sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Torrenticolidae,NA,NA,Testudacarus,NA,Testudacarus,5,prd,NA
TORSP6,genus,Torrenticola sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Torrenticolidae,NA,NA,Torrenticola,NA,Torrenticola,5,prd,NA
UNISP3,family,Unionicolidae sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Unionicolidae,NA,NA,NA,NA,Unionicolidae,5,prd,NA
NEUSP4,genus,Neumania sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Unionicolidae,NA,NA,Neumania,NA,Neumania,5,prd,NA
WETSP1,genus,Wettina sp.,Arthropoda,Chelicerata,Arachnida,Trombidiformes,Wettinidae,NA,NA,Wettina,NA,Wettina,5,prd,NA
CRASP6,genus,Crangonyx sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,Crangonyctidae,NA,NA,Crangonyx,NA,Crangonyx,4,cg,NA
CRASP2,family,Crangonyctidae sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,Crangonyctidae,NA,NA,NA,NA,Crangonyctidae,4,cg,NA
STYSP9,genus,Stygobromus sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,Crangonyctidae,NA,NA,Stygobromus,NA,Stygobromus,4,cg,NA
SYNSP7,genus,Synurella sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,Crangonyctidae,NA,NA,Synurella,NA,Synurella,4,cg,NA
SYNJOH,species,Synurella johanseni,Arthropoda,Crustacea,Malacostraca,Amphipoda,Crangonyctidae,NA,NA,Synurella,NA,Synurella,4,cg,NA
GAMSP3,genus,Gammarus sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,Gammaridae,NA,NA,Gammarus,NA,Gammarus,6,cg,NA
GAMSP1,family,Gammaridae sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,Gammaridae,NA,NA,NA,NA,Gammaridae,6,cg,NA
HYASP2,genus,Hyalella sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,Hyalellidae,NA,NA,Hyalella,NA,Hyalella,8,cg,NA
AMPSP1,order,Amphipoda sp.,Arthropoda,Crustacea,Malacostraca,Amphipoda,NA,NA,NA,NA,NA,Amphipoda,6,cg,NA
PACLEN,species,Pacifastacus leniusculus,Arthropoda,Crustacea,Malacostraca,Decapoda,Astacidae,NA,NA,Pacifastacus,NA,Pacifastacus,6,cg,om
CAMSP11,species,Cambarus sp.,Arthropoda,Crustacea,Malacostraca,Decapoda,Cambaridae,Cambarinae,NA,Cambarus,robustus,crayfish,6,cg,om
CAMSP11,species,Cambarus sp.,Arthropoda,Crustacea,Malacostraca,Decapoda,Cambaridae,NA,NA,Cambarus,robustus,crayfish,6,cg,om
CAMSP1,family,Cambaridae sp.,Arthropoda,Crustacea,Malacostraca,Decapoda,Cambaridae,NA,NA,NA,NA,crayfish,6,cg,om
